"MATERIAL","CHAR","CHARVALUE"
"30ATCTO1WW","EP1ST_RAID_ARRAY","RAID 0"
"30ATCTO1WW","EP1ST_RAID_ARRAY","RAID 1_2 HDDS MIN"
"30ATCTO1WW","EP1ST_RAID_ARRAY","RAID 10_4 HDDS MIN"
"30ATCTO1WW","EP1ST_RAID_ARRAY","RAID 5_3 HDDS MIN"
"30ATCTO1WW","EP1STHDD_SELECTION_SIZE","2.5"
"30ATCTO1WW","EP1STHDD_SELECTION_SIZE","3.5"
"30ATCTO1WW","EP1STHDD_SELECTION_SIZE","NONE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","2X_DP TO 2XDP DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","2XDISPLAY PORT TO HDMI DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","2XDISPLAYPORT TO DVI DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","2XDP TO DVI 2LINK DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","2XDP TO VGA DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","3X_DP TO 2XDP DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","3XDISPLAY PORT TO HDMI DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","3XDISPLAYPORT TO DVI DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","3XDP TO DVI 2LINK DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","3XDP TO VGA DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","4X_DP TO 2XDP DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","4XDISPLAY PORT TO HDMI DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","4XDISPLAYPORT TO DVI DONGLE"
"30ATCTO1WW","EP2ND_GRAPHIC_CARD_DP_DONGLE","4XDP TO DVI 2LINK DONGLE"
