"CHAR","LANGUAGE","DESC"
"ISECOUNTRY","E","Country"
"ISECUSTOMERNAME","E","Customer Name"
"ISEETHERNET_MODULE","E","ETHERNET_Module"
"ISEHDD_QTY_SELECTION_1","E","1st Drive Quantity"
"ISEHDD_QTY_SELECTION_2","E","2nd Drive Quantity"
"ISEHDD_QTY_SELECTION_3","E","3rd Drive Quantity"
"ISEHDD_QTY_SELECTION_4","E","4th Drive Quantity"
"ISEHDD_QTY_SELECTION_5","E","5th Drive Quantity"
"ISEHDD_QTY_SELECTION_6","E","6th Drive Quantity"
"ISEHDD_QTY_SELECTION_7","E","7th Drive Quantity"
"ISEHDD_SELECTION1_SIZE","E","HDD_selection1_SIZE"
"ISEHDD_SELECTION1_TYPE","E","HDD_selection1_TYPE"
"ISEHDD_SELECTION2_SIZE","E","HDD_selection2_SIZE"
"ISEHDD_SELECTION2_TYPE","E","HDD_selection2_TYPE"
"ISEHDD_SELECTION3_SIZE","E","HDD_selection3_SIZE"
"ISEHDD_SELECTION3_TYPE","E","HDD_selection3_TYPE"
"ISEHDD_SELECTION4_SIZE","E","HDD_selection4_SIZE"
"ISEHDD_SELECTION4_TYPE","E","HDD_selection4_TYPE"
"ISEHDD_SELECTION5_SIZE","E","HDD_selection5_SIZE"
"ISEHDD_SELECTION5_TYPE","E","HDD_selection5_TYPE"
"ISEHDD_SELECTION6_SIZE","E","HDD_selection6_SIZE"
"ISEHDD_SELECTION6_TYPE","E","HDD_selection6_TYPE"
"ISEHDD_SELECTION7_SIZE","E","HDD_selection7_SIZE"
"ISEHDD_SELECTION7_TYPE","E","HDD_selection7_TYPE"
"ISEHDD_TYPE_SELECTION_1","E","1st Drive Selection"
"ISEHDD_TYPE_SELECTION_2","E","2nd Drive Selection"
"ISEHDD_TYPE_SELECTION_3","E","3rd Drive Selection"
"ISEHDD_TYPE_SELECTION_4","E","4th Drive Selection"
"ISEHDD_TYPE_SELECTION_5","E","5th Drive Selection"
"ISEHDD_TYPE_SELECTION_6","E","6th Drive Selection"
"ISEHDD_TYPE_SELECTION_7","E","7th Drive Selection"
"ISEMEM_QTY_SELECTION_1","E","1st Memory Quantity"
"ISEMEM_QTY_SELECTION_2","E","2nd Memory Quantity"
"ISEMEM_QTY_SELECTION_3","E","3rd Memory Quantity"
"ISEMEM_TYPE_SELECTION_1","E","1st Memory Selection"
"ISEMEM_TYPE_SELECTION_2","E","2nd Memory Selection"
